Date,Close,Changes,ChangesRatio,Open,High,Low,Volume,Amount,Marcap
2016/07/26,"2,027.34",15.02,0.75,"2,009.40","2,027.34","2,008.25","338,607","4,072,566,218,005","1,291,738,100,791,866"
2016/07/27,"2,025.05",-2.29,-0.11,"2,027.07","2,030.69","2,021.15","411,661","4,493,918,022,445","1,289,921,314,039,684"
2016/07/28,"2,021.10",-3.95,-0.2,"2,029.07","2,029.38","2,014.36","350,881","4,343,065,144,400","1,287,721,676,586,123"
2016/07/29,"2,016.19",-4.91,-0.24,"2,023.24","2,028.99","2,016.19","366,385","5,028,662,210,135","1,283,158,113,811,986"
2016/08/01,"2,029.61",13.42,0.67,"2,024.71","2,031.58","2,024.57","369,588","4,822,082,371,267","1,291,814,814,294,956"
2016/08/02,"2,019.03",-10.58,-0.52,"2,023.55","2,026.10","2,017.59","409,940","4,314,085,815,513","1,284,954,078,694,719"
2016/08/03,"1,994.79",-24.24,-1.2,"2,008.68","2,008.68","1,993.00","485,853","4,387,076,567,210","1,269,643,958,453,579"
2016/08/04,"2,000.03",5.24,0.26,"2,006.08","2,006.48","1,994.73","326,514","3,648,387,644,828","1,273,523,592,214,019"
2016/08/05,"2,017.94",17.91,0.9,"2,006.23","2,018.16","2,004.37","289,293","4,168,007,760,811","1,285,888,530,139,679"
2016/08/08,"2,031.12",13.18,0.65,"2,025.55","2,031.14","2,018.81","270,485","4,169,817,146,363","1,293,946,097,728,349"
2016/08/09,"2,043.78",12.66,0.62,"2,033.52","2,046.03","2,032.18","436,717","4,172,627,716,184","1,301,778,453,666,222"
2016/08/10,"2,044.64",0.86,0.04,"2,043.03","2,049.36","2,039.86","331,092","4,638,219,743,902","1,302,129,885,276,921"
2016/08/11,"2,048.80",4.16,0.2,"2,042.64","2,048.80","2,035.25","346,082","4,490,356,205,016","1,304,638,116,644,244"
2016/08/12,"2,050.47",1.67,0.08,"2,053.82","2,060.84","2,046.15","376,489","4,667,631,549,057","1,305,975,256,940,125"
2016/08/16,"2,047.76",-2.71,-0.13,"2,056.00","2,063.09","2,047.73","374,873","4,503,851,152,910","1,304,494,575,968,067"
2016/08/17,"2,043.75",-4.01,-0.2,"2,045.37","2,048.29","2,032.53","391,715","4,406,925,034,824","1,301,963,104,960,498"
2016/08/18,"2,055.47",11.72,0.57,"2,048.15","2,056.09","2,041.90","353,081","4,764,864,417,776","1,310,197,227,124,320"
2016/08/19,"2,056.24",0.77,0.04,"2,057.90","2,059.30","2,049.52","392,319","5,005,350,422,546","1,311,350,304,855,587"
2016/08/22,"2,042.16",-14.08,-0.68,"2,054.37","2,054.71","2,040.51","343,503","4,101,258,441,801","1,302,637,823,032,528"
2016/08/23,"2,049.93",7.77,0.38,"2,044.27","2,051.43","2,041.86","360,414","4,470,552,649,701","1,307,730,330,947,052"
2016/08/24,"2,043.76",-6.17,-0.3,"2,050.82","2,052.74","2,039.53","285,183","4,144,213,440,289","1,303,342,576,504,596"
2016/08/25,"2,042.92",-0.84,-0.04,"2,041.58","2,046.00","2,035.01","277,432","4,198,774,379,843","1,302,439,448,382,656"
2016/08/26,"2,037.50",-5.42,-0.27,"2,036.74","2,039.91","2,027.68","288,185","4,011,867,429,189","1,298,673,905,235,490"
